P:N1,P:N2,净利润,年化收益率%
36,4,1033841.5,88.97
36,5,2891689.35,248.84
36,6,2891689.35,248.84
36,7,2891689.35,248.84
36,8,2787728.82,239.9
36,9,2936102.65,252.66
36,10,920285,79.19
36,11,1016510.15,87.47
36,12,1670124.65,143.72
36,13,1670124.65,143.72
36,14,1670124.65,143.72
36,15,1670124.65,143.72
36,16,1670124.65,143.72
36,17,1670124.65,143.72
36,18,1670124.65,143.72
36,19,1670124.65,143.72
36,20,1670124.65,143.72
36,21,1670124.65,143.72
36,22,1670124.65,143.72
36,23,1719949.55,148.01
36,24,1895805.8,163.14
36,25,1895805.8,163.14
36,26,1895805.8,163.14
36,27,1434639.48,123.46
36,28,1199744,103.24
36,29,1199744,103.24
36,30,1199744,103.24
36,31,1199744,103.24
36,32,1199744,103.24
36,33,1096515,95.41
36,34,0,0
36,35,0,0
36,36,0,0
36,37,351078,32.73
36,38,47371.4,4.52
36,39,-153884,-15.06
36,40,-262615.75,-26.93
36,41,0,0
36,42,0,0
36,43,0,0
36,44,0,0
36,45,0,0
36,46,0,0
36,47,0,0
36,48,0,0
36,49,0,0
36,50,0,0
35,1,0,0
35,2,1081459.7,105.93
35,3,1962316.6,168.87
35,4,1962316.6,168.87
35,5,3216699.1,276.81
35,6,3216699.1,276.81
35,7,3216699.1,276.81
35,8,3181716.6,273.8
35,9,3150682.13,271.13
35,10,1016537.9,87.48
35,11,1148958.65,98.87
35,12,1827085.4,157.23
35,13,1827085.4,157.23
35,14,1827085.4,157.23
35,15,1827085.4,157.23
35,16,1827085.4,157.23
35,17,1827085.4,157.23
35,18,1827085.4,157.23
35,19,1827085.4,157.23
35,20,1827085.4,157.23
35,21,1827085.4,157.23
35,22,1827085.4,157.23
35,23,1719949.55,148.01
35,24,1895805.8,163.14
35,25,1895805.8,163.14
35,26,1895805.8,163.14
35,27,1434639.48,123.46
35,28,1199744,103.24
35,29,1199744,103.24
35,30,1199744,103.24
35,31,1199744,103.24
35,32,1199744,103.24
35,33,1096515,95.41
35,34,0,0
35,35,0,0
35,36,176663.42,16.67
35,37,351078,32.73
35,38,47371.4,4.52
35,39,-153884,-15.06
35,40,-262615.75,-26.93
35,41,0,0
35,42,0,0
35,43,0,0
35,44,0,0
35,45,0,0
35,46,0,0
35,47,0,0
35,48,0,0
35,49,0,0
35,50,0,0
34,1,0,0
34,2,-1598495.2,-150.92
34,3,739461.05,69.81
34,4,1939205.05,166.88
