P:N1,P:N2,净利润,年化收益率%,夏普比率
11,22,-376833.24,-33.19,-0.2343
11,23,-493843.21,-43.49,-0.3314
11,24,-888104.6,-78.22,-0.6603
11,25,-782262.73,-68.9,-0.5877
11,26,-641374.97,-55.57,-0.4626
11,27,-737121.77,-63.87,-0.5367
11,28,-1689497.66,-157.9,-1.4771
11,29,-1728499.45,-162.25,-1.6016
11,30,-2500009.95,-233.04,-2.6215
11,31,-1730923.98,-161.35,-2.0411
11,32,-1730923.98,-161.35,-2.0411
11,33,-1092014.79,-102.55,-1.815
11,34,-1092014.79,-102.55,-1.815
11,35,-1092014.79,-102.55,-1.815
11,36,-651313.16,-61.16,-1.3573
11,37,-447181.49,-42.73,-0.999
11,38,-608263.75,-57.37,-1.6366
11,39,-770866.2,-71.46,-2.1206
11,40,0,0,0
11,41,0,0,0
11,42,0,0,0
11,43,0,0,0
11,44,0,0,0
11,45,0,0,0
11,46,0,0,0
11,47,0,0,0
11,48,0,0,0
11,49,0,0,0
11,50,0,0,0
12,1,0,0,0
12,2,-2407712.09,-202.87,-1.4114
12,3,-1573038.61,-132.54,-0.9508
12,4,-3043872.08,-256.47,-1.6643
12,5,-2557253.04,-215.47,-1.3904
12,6,-2076547.49,-174.97,-1.2143
12,7,-1988177.29,-167.52,-1.1303
12,8,-1988177.29,-167.52,-1.1303
12,9,479938.16,40.76,0.3749
12,10,-2191773.29,-184.68,-1.2557
12,11,67812.38,5.76,0.1377
12,12,0,0,0
12,13,-1557795.92,-133.89,-0.8423
12,14,-1480435.8,-127.25,-0.8113
12,15,-1007921.59,-86.63,-0.535
12,16,-846878.1,-72.79,-0.4425
12,17,-1629661.39,-139.51,-0.9498
12,18,-1169949,-100.16,-0.6887
12,19,-774607.95,-66.31,-0.4555
12,20,508985.29,43.57,0.4199
12,21,-320786.68,-28.25,-0.1802
12,22,-344974.57,-30.38,-0.213
12,23,-449020.81,-39.55,-0.298
12,24,-843282.2,-74.27,-0.6258
12,25,-881858.23,-76.41,-0.6361
12,26,-959900.18,-83.17,-0.725
12,27,-737121.77,-63.87,-0.5367
12,28,-1689497.66,-157.9,-1.4771
12,29,-1904882.4,-178.81,-1.769
12,30,-2500009.95,-233.04,-2.6215
12,31,-1730923.98,-161.35,-2.0411
12,32,-1304561.04,-122.5,-2.0825
12,33,-1304561.04,-122.5,-2.0825
12,34,-1092014.79,-102.55,-1.815
12,35,-700127.04,-66.9,-1.1833
12,36,-447181.49,-42.73,-0.999
12,37,-447181.49,-42.73,-0.999
12,38,-608263.75,-57.37,-1.6366
12,39,-770866.2,-71.46,-2.1206
12,40,0,0,0
12,41,0,0,0
12,42,0,0,0
12,43,0,0,0
12,44,0,0,0
12,45,0,0,0
12,46,0,0,0
12,47,0,0,0
12,48,0,0,0
12,49,0,0,0
12,50,0,0,0
13,1,0,0,0
13,2,-1305606.83,-110.01,-0.746
13,3,-728534.93,-61.39,-0.4518
13,4,-979333.31,-82.52,-0.5156
13,5,-912478.16,-76.88,-0.4751
13,6,-1932763.84,-162.85,-1.1067
13,7,-1027632.19,-86.59,-0.553
13,8,-1297608.89,-109.34,-0.7227
13,9,1170506.56,99.41,0.7792
13,10,966910.56,82.12,0.6479
13,11,797287.21,67.71,0.5777
13,12,-444549.56,-37.75,-0.1645
13,13,0,0,0
13,14,-2015937.35,-173.27,-1.1045
13,15,-1414985.7,-121.13,-0.7614
13,16,-2125183.43,-182.66,-1.1828
13,17,-1643000.14,-140.65,-0.9633
13,18,-1370014.25,-117.28,-0.8118
13,19,506571.96,43.37,0.4221
13,20,-13235.88,-1.17,0.0379
13,21,67571.05,5.95,0.0828
13,22,-313319.7,-27.6,-0.1906
13,23,-688596.98,-59.66,-0.4659
13,24,-942877.7,-81.7,-0.673
13,25,-881858.23,-76.41,-0.6361
13,26,-1052050.02,-91.16,-0.7956
13,27,-1143693.8,-101.15,-0.9051
13,28,-1657842.79,-154.94,-1.4522
13,29,-1696844.58,-159.28,-1.5754
13,30,-2500009.95,-233.04,-2.6215
13,31,-1191227.49,-111.86,-1.8972
13,32,-1191227.49,-111.86,-1.8972
13,33,-1191227.49,-111.86,-1.8972
13,34,-799339.74,-76.38,-1.292
13,35,-700127.04,-66.9,-1.1833
13,36,-416975.65,-40.02,-0.9367
13,37,-447181.49,-42.73,-0.999
13,38,-608263.75,-57.37,-1.6366
13,39,-770866.2,-71.46,-2.1206
13,40,0,0,0
13,41,0,0,0
13,42,0,0,0
13,43,0,0,0
13,44,0,0,0
13,45,0,0,0
13,46,0,0,0
13,47,0,0,0
13,48,0,0,0
13,49,0,0,0
13,50,0,0,0
14,1,0,0,0
14,2,-2861370.5,-241.1,-1.6426
14,3,-2002934.17,-168.77,-1.1065
14,4,-2509671.44,-211.46,-1.3643
14,5,-3370246.45,-283.97,-1.907
14,6,-3064075,-258.18,-1.7467
14,7,-2480106.72,-208.97,-1.3532
14,8,-2671022.98,-225.06,-1.4964
14,9,-202907.52,-17.23,0.0229
14,10,-406503.52,-34.52,-0.11
14,11,-60075.07,-5.1,0.0861
14,12,-690482.15,-58.64,-0.3314
14,13,-875241.11,-75.23,-0.4949
14,14,0,0,0
14,15,-1397588.43,-120.12,-0.7786
14,16,-2202669.66,-189.32,-1.2283
14,17,-1625381.26,-139.14,-0.9438
14,18,-1903084.89,-162.92,-1.1655
14,19,-848220.66,-74.71,-0.5344
14,20,-420912.82,-37.07,-0.2547
14,21,-34825.85,-3.02,0.0194
14,22,-352203.71,-30.52,-0.209
14,23,-534315.09,-46.3,-0.3516
14,24,-1052344.31,-91.18,-0.7575
14,25,-1452724.59,-128.47,-1.1215
14,26,-1464851.06,-129.55,-1.1787
14,27,-1045324.14,-92.45,-0.8276
14,28,-1591103.01,-148.7,-1.3923
14,29,-1773473.03,-165.32,-1.6009
14,30,-2433419.8,-226.83,-2.5457
14,31,-1730923.98,-161.35,-2.0411
14,32,-1184431.89,-111.22,-1.6219
14,33,-1126438.24,-105.78,-1.7798
14,34,-733700.91,-70.11,-1.1751
14,35,-642310.01,-61.65,-1.078
14,36,-416975.65,-40.02,-0.9367
14,37,-416975.65,-40.02,-0.9367
14,38,-608263.75,-57.37,-1.6366
14,39,-770866.2,-71.46,-2.1206
14,40,0,0,0
14,41,0,0,0
14,42,0,0,0
14,43,0,0,0
14,44,0,0,0
14,45,0,0,0
14,46,0,0,0
14,47,0,0,0
14,48,0,0,0
14,49,0,0,0
14,50,0,0,0
15,1,0,0,0
15,2,-2618139.13,-220.6,-1.5206
15,3,-2816227.13,-237.29,-1.5456
15,4,-2701065.75,-227.59,-1.4862
15,5,-208699.42,-17.8,0.0155
15,6,-528383.55,-45.05,-0.2118
15,7,-2826929.16,-238.19,-1.5602
15,8,-463273.21,-39.5,-0.1394
15,9,-439715.6,-37.49,-0.1259
15,10,387514.76,33.04,0.3206
15,11,-53788.05,-4.59,0.0781
15,12,-1398171.54,-119.22,-0.7682
15,13,-864722.61,-73.73,-0.4598
15,14,-1035153.5,-88.26,-0.5557
15,15,0,0,0
15,16,-2489266.28,-213.96,-1.4214
15,17,-1470255.15,-125.86,-0.8686
15,18,-2212225.45,-189.38,-1.3927
15,19,-887866.95,-78.2,-0.567
15,20,-220372.07,-19.41,-0.1284
15,21,-241111.3,-20.89,-0.1288
15,22,-492475.03,-42.67,-0.3182
15,23,-1037627.91,-91.76,-0.7748
15,24,-1446427.74,-127.92,-1.1034
15,25,-1452724.59,-128.47,-1.1215
15,26,-1612417.19,-142.6,-1.2724
15,27,-1192890.26,-105.5,-0.9314
15,28,-1734771.09,-161.71,-1.4826
15,29,-2048550.77,-190.96,-1.851
15,30,-1263152.8,-118.62,-1.4486
15,31,-1092014.79,-102.55,-1.815
15,32,-1263237.59,-118.62,-1.741
15,33,-1230852.79,-115.58,-1.9771
15,34,-700127.04,-66.9,-1.1833
15,35,-700127.04,-66.9,-1.1833
15,36,-416975.65,-40.02,-0.9367
15,37,-528911.55,-50.32,-1.4247
15,38,-608263.75,-57.37,-1.6366
15,39,-770866.2,-71.46,-2.1206
15,40,0,0,0
15,41,0,0,0
15,42,0,0,0
15,43,0,0,0
15,44,0,0,0
15,45,0,0,0
15,46,0,0,0
15,47,0,0,0
15,48,0,0,0
15,49,0,0,0
15,50,0,0,0
16,1,0,0,0
16,2,-132875.96,-11.43,0.0052
16,3,-2298887.69,-193.7,-1.1791
16,4,-2298887.69,-193.7,-1.1791
16,5,-262944.81,-22.42,-0.0327
16,6,-535727.4,-45.68,-0.23
16,7,-97137.6,-8.28,0.0542
16,8,341368.45,29.11,0.2944
16,9,387514.76,33.04,0.3206
16,10,-126771.49,-10.81,0.0368
